;ÎïÆ·ÌØÐ§ÅäÖÃÎÄ¼þ
;ÎïÆ·Ãû³Æ °ü¹üÍ¼Æ¬ °ü¹ü²¥·Å °ü¹üX °ü¹üY °ü¹üWil ÄÚ¹ÛÍ¼Æ¬ ÄÚ¹Û²¥·Å ÄÚ¹ÛX ÄÚ¹ÛY	 ÄÚ¹ÛWil Íâ¹ÛÍ¼Æ¬ Íâ¹ÛWil
~±~²~³~´~µ~¶~·~¸~¹~º~»~¼~½~¾~¿~À~Á~Â~Ã~Ä~Å~Æ~Ç~È~É~Ê~Ë~Ì~Í~Î~Ï~Ð~Ñ~Ò~Ó~Ô~Õ~Ö~×~Ø~Ù~Ú~Û~Ü~Ý~Þ~ß~à~á~â~ã~ä~å~æ~ç~è~é~ê~ë~ì~í~î~ï~ð~ñ~ò~ó~ô~õ~ö~÷~ø~ù~ú~û~ü~ý~þ~ÿ~	65535	0	0	0	0	3630	18	0	0	9	65535	0
±´¶ûµÀ¼×¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûµÀÒÂ¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶û¸´½ä¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶û»¤½ä¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶û½£¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÂé½ä¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÄ§¼×¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÄ§ÒÂ¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÉÈ¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÊÖïí¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÍ·¿ø¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÏîÁ´¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÕ½¼×¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÕ½ÒÂ¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
±´¶ûÕÈ¡¾Éñ¡¿	3910	10	0	0	6	65535	0	0	0	0	65535	0
¶ñÄ§µÀ¼×¡¾Éñ¡¿	3910	10	0	0	6	3680	8	-41	20	9	65535	0
