庆典蛋糕	0	127	2000	0	0	0	-1	0	-1	0	0	0	0
气血石(大)	2	152	50	0	0	0	-1	0	-1	0	0	0	0
魔血石(大)	2	158	50	0	0	0	-1	0	-1	0	0	0	0
坐骑(烈炎马)	0	426	4000	0	0	0	-1	0	-1	0	0	0	0
沃玛号角	0	461	200	0	0	0	-1	0	-1	0	0	0	0
会员卷	0	749	2800	0	0	0	-1	0	-1	0	0	0	0
随机传送石	2	97	5	0	0	0	-1	0	-1	0	0	0	0
盟重传送石	2	98	5	0	0	0	-1	0	-1	0	0	0	0
通行证	0	748	400	0	0	0	-1	0	-1	0	0	0	0
灰色药粉	2	86	10	0	0	0	-1	0	-1	0	0	0	0
黄色药粉	2	87	10	0	0	0	-1	0	-1	0	0	0	0
红牛药包	2	751	10	0	0	0	-1	0	-1	0	0	0	0
10元宝	3	759	10	0	0	0	-1	0	-1	0	0	0	0
20元宝	3	760	20	0	0	0	-1	0	-1	0	0	0	0
50元宝	3	761	50	0	0	0	-1	0	-1	0	0	0	0
100元宝	3	762	100	0	0	0	-1	0	-1	0	0	0	0
200元宝	3	763	200	0	0	0	-1	0	-1	0	0	0	0
500元宝	3	764	500	0	0	0	-1	0	-1	0	0	0	0
1000元宝	3	765	1000	0	0	0	-1	0	-1	0	0	0	0
护身符	2	88	5	0	0	0	-1	0	-1	0	0	0	0
修复神水	2	122	5	0	0	0	-1	0	-1	0	0	0	0
祝福油	0	130	50	0	0	0	-1	0	-1	0	0	0	0
超级祝福油	0	474	1000	0	0	0	-1	0	-1	0	0	0	0
逐日剑法	1	32	2000	0	0	0	-1	0	-1	0	0	0	0
群体雷电术	1	41	2000	0	0	0	-1	0	-1	0	0	0	0
彻地钉	1	45	2000	0	0	0	-1	0	-1	0	0	0	0
开天斩	1	46	3000	0	0	0	-1	0	-1	0	0	0	0
群体施毒术	1	49	3000	0	0	0	-1	0	-1	0	0	0	0
十步一杀	1	72	10000	0	0	0	-1	0	-1	0	0	0	0
冰霜群雨	1	73	10000	0	0	0	-1	0	-1	0	0	0	0
死亡之眼	1	74	10000	0	0	0	-1	0	-1	0	0	0	0
护体神盾	1	71	5000	0	0	0	-1	0	-1	0	0	0	0
初级玄晶	1	753	100	0	0	0	-1	0	-1	0	0	0	0
低级玄晶	1	754	200	0	0	0	-1	0	-1	0	0	0	0
中级玄晶	1	755	400	0	0	0	-1	0	-1	0	0	0	0
高级玄晶	1	756	700	0	0	0	-1	0	-1	0	0	0	0
超级玄晶	1	757	1200	0	0	0	-1	0	-1	0	0	0	0
金条	2	80	50	0	0	0	-1	0	-1	0	0	0	0
麻痹戒指	0	166	1500	0	0	0	-1	0	-1	0	0	0	0
护身戒指	0	167	1500	0	0	0	-1	0	-1	0	0	0	0
复活戒指	0	168	1500	0	0	0	-1	0	-1	0	0	0	0
一转证明书	1	785	100	0	0	0	-1	0	-1	0	0	0	0
